employee_id,age,gender,marital_status,education_level,education_field,department_id,job_role,business_travel,distance_from_home
1,41,Female,Single,College,Life Sciences,1,Sales Executive,Travel_Rarely,1
2,49,Male,Married,Below College,Life Sciences,2,Research Scientist,Travel_Frequently,8
4,37,Male,Single,College,Other,2,Laboratory Technician,Travel_Rarely,2
5,33,Female,Married,Master,Life Sciences,2,Research Scientist,Travel_Frequently,3
7,27,Male,Married,Below College,Medical,2,Laboratory Technician,Travel_Rarely,2
8,32,Male,Single,College,Life Sciences,2,Laboratory Technician,Travel_Frequently,2
10,59,Female,Married,Bachelor,Medical,2,Laboratory Technician,Travel_Rarely,3
11,30,Male,Divorced,Below College,Life Sciences,2,Laboratory Technician,Travel_Rarely,24
12,38,Male,Single,Bachelor,Life Sciences,2,Manufacturing Director,Travel_Frequently,23
13,36,Male,Married,Bachelor,Medical,2,Healthcare Representative,Travel_Rarely,27
14,35,Male,Married,Bachelor,Medical,2,Laboratory Technician,Travel_Rarely,16
15,29,Female,Single,College,Life Sciences,2,Laboratory Technician,Travel_Rarely,15
16,31,Male,Divorced,Below College,Life Sciences,2,Research Scientist,Travel_Rarely,26
18,34,Male,Divorced,College,Medical,2,Laboratory Technician,Travel_Rarely,19
19,28,Male,Single,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Rarely,24
20,29,Female,Divorced,Master,Life Sciences,2,Manufacturing Director,Travel_Rarely,21
21,32,Male,Divorced,College,Life Sciences,2,Research Scientist,Travel_Rarely,5
22,22,Male,Divorced,College,Medical,2,Laboratory Technician,Non-Travel,16
23,53,Female,Married,Master,Life Sciences,1,Manager,Travel_Rarely,2
24,38,Male,Single,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,2
26,24,Female,Divorced,College,Other,2,Manufacturing Director,Non-Travel,11
27,36,Male,Single,Master,Life Sciences,1,Sales Representative,Travel_Rarely,9
28,34,Female,Single,Master,Life Sciences,2,Research Director,Travel_Rarely,7
30,21,Male,Single,College,Life Sciences,2,Research Scientist,Travel_Rarely,15
31,34,Male,Single,Below College,Medical,2,Research Scientist,Travel_Rarely,6
32,53,Female,Divorced,Bachelor,Other,2,Manager,Travel_Rarely,5
33,32,Female,Single,Below College,Life Sciences,2,Research Scientist,Travel_Frequently,16
35,42,Male,Married,Master,Marketing,1,Sales Executive,Travel_Rarely,8
36,44,Female,Married,Master,Medical,2,Healthcare Representative,Travel_Rarely,7
38,46,Female,Single,Master,Marketing,1,Manager,Travel_Rarely,2
39,33,Male,Single,Bachelor,Medical,2,Laboratory Technician,Travel_Rarely,2
40,44,Male,Married,Master,Other,2,Healthcare Representative,Travel_Rarely,10
41,30,Male,Single,College,Medical,2,Laboratory Technician,Travel_Rarely,9
42,39,Male,Married,Bachelor,Technical Degree,1,Sales Representative,Travel_Rarely,5
45,24,Male,Married,Bachelor,Medical,2,Research Scientist,Travel_Rarely,1
46,43,Female,Divorced,College,Medical,2,Research Scientist,Travel_Rarely,2
47,50,Male,Married,College,Marketing,1,Sales Representative,Travel_Rarely,3
49,35,Female,Married,Bachelor,Marketing,1,Sales Representative,Travel_Rarely,2
51,36,Female,Married,Master,Life Sciences,2,Research Scientist,Travel_Rarely,5
52,33,Female,Married,Bachelor,Life Sciences,1,Sales Executive,Travel_Frequently,1
53,35,Male,Divorced,College,Other,2,Laboratory Technician,Travel_Rarely,4
54,27,Female,Divorced,Master,Life Sciences,2,Laboratory Technician,Travel_Rarely,2
55,26,Male,Single,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Rarely,25
56,27,Male,Single,Bachelor,Life Sciences,1,Sales Executive,Travel_Frequently,8
57,30,Female,Single,College,Medical,2,Laboratory Technician,Travel_Frequently,1
58,41,Female,Married,Bachelor,Technical Degree,2,Research Director,Travel_Rarely,12
60,34,Male,Single,Master,Marketing,1,Sales Executive,Non-Travel,23
61,37,Male,Married,College,Life Sciences,2,Research Scientist,Travel_Rarely,19
62,46,Male,Single,Master,Marketing,1,Sales Executive,Travel_Frequently,5
63,35,Male,Married,Below College,Life Sciences,2,Laboratory Technician,Travel_Rarely,8
64,48,Male,Single,College,Life Sciences,2,Laboratory Technician,Travel_Rarely,1
65,28,Male,Single,Master,Technical Degree,2,Laboratory Technician,Travel_Rarely,5
68,44,Female,Divorced,Doctor,Marketing,1,Sales Executive,Travel_Rarely,1
70,35,Male,Married,College,Medical,2,Healthcare Representative,Non-Travel,11
72,26,Female,Married,Bachelor,Marketing,1,Sales Executive,Travel_Rarely,23
73,33,Female,Single,College,Life Sciences,2,Research Director,Travel_Frequently,1
74,35,Male,Married,Doctor,Life Sciences,1,Sales Executive,Travel_Frequently,18
75,35,Female,Married,Master,Medical,2,Laboratory Technician,Travel_Rarely,23
76,31,Male,Divorced,Master,Life Sciences,2,Laboratory Technician,Travel_Rarely,7
77,37,Male,Divorced,Master,Life Sciences,2,Manufacturing Director,Travel_Rarely,1
78,32,Male,Married,Bachelor,Medical,2,Manufacturing Director,Travel_Rarely,1
79,38,Female,Single,Doctor,Life Sciences,2,Laboratory Technician,Travel_Frequently,29
80,50,Female,Divorced,College,Medical,2,Research Director,Travel_Rarely,7
81,59,Female,Single,Bachelor,Life Sciences,1,Sales Executive,Travel_Rarely,25
83,36,Female,Divorced,Bachelor,Technical Degree,2,Healthcare Representative,Travel_Rarely,8
84,55,Female,Divorced,Bachelor,Medical,2,Manager,Travel_Rarely,8
85,36,Male,Single,Bachelor,Life Sciences,2,Manufacturing Director,Travel_Frequently,11
86,45,Male,Divorced,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,7
88,35,Male,Married,Bachelor,Medical,2,Research Scientist,Travel_Frequently,1
90,36,Male,Married,Bachelor,Medical,2,Research Scientist,Travel_Rarely,9
91,59,Female,Single,Below College,Life Sciences,1,Sales Executive,Travel_Frequently,1
94,29,Male,Married,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,2
95,31,Male,Single,Master,Medical,2,Research Scientist,Travel_Rarely,1
96,32,Male,Married,Bachelor,Life Sciences,2,Research Scientist,Travel_Rarely,1
97,36,Female,Married,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Rarely,6
98,31,Female,Single,Master,Life Sciences,2,Manufacturing Director,Travel_Rarely,8
100,35,Male,Single,Master,Marketing,1,Sales Executive,Travel_Rarely,1
101,45,Male,Married,Master,Other,2,Research Director,Travel_Rarely,6
102,37,Male,Single,Master,Medical,2,Research Director,Travel_Rarely,7
103,46,Male,Divorced,College,Medical,3,Human Resources,Travel_Rarely,5
104,30,Male,Married,Below College,Life Sciences,2,Laboratory Technician,Travel_Rarely,1
105,35,Male,Single,Bachelor,Medical,2,Research Scientist,Travel_Rarely,1
106,55,Male,Married,College,Life Sciences,1,Sales Executive,Travel_Rarely,1
107,38,Female,Divorced,Bachelor,Medical,2,Research Scientist,Non-Travel,6
110,34,Male,Married,College,Medical,2,Manufacturing Director,Travel_Rarely,1
112,56,Male,Single,Bachelor,Life Sciences,2,Manufacturing Director,Travel_Rarely,7
113,23,Male,Divorced,Below College,Technical Degree,1,Sales Representative,Travel_Rarely,2
116,51,Male,Married,Master,Life Sciences,2,Laboratory Technician,Travel_Rarely,9
117,30,Male,Married,Bachelor,Life Sciences,2,Healthcare Representative,Travel_Rarely,2
118,46,Male,Single,College,Medical,1,Sales Executive,Travel_Rarely,9
119,40,Male,Married,Master,Life Sciences,2,Healthcare Representative,Travel_Frequently,1
120,51,Male,Single,Master,Marketing,1,Sales Executive,Travel_Rarely,21
121,30,Female,Divorced,College,Medical,1,Sales Executive,Travel_Rarely,4
124,46,Male,Married,Bachelor,Medical,2,Healthcare Representative,Travel_Frequently,1
125,32,Male,Single,Master,Medical,1,Sales Executive,Travel_Rarely,6
126,54,Female,Married,Master,Technical Degree,2,Research Director,Travel_Rarely,2
128,24,Female,Married,College,Other,1,Sales Executive,Travel_Rarely,3
129,28,Male,Married,Bachelor,Medical,1,Sales Executive,Non-Travel,4
131,58,Male,Single,Master,Medical,1,Sales Executive,Travel_Rarely,10
132,44,Male,Married,Bachelor,Medical,2,Laboratory Technician,Non-Travel,23
133,37,Male,Divorced,Master,Human Resources,3,Human Resources,Travel_Rarely,6
134,32,Male,Single,Below College,Life Sciences,2,Research Scientist,Travel_Rarely,1
137,20,Female,Single,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Frequently,6
138,34,Female,Single,Master,Other,2,Research Scientist,Travel_Rarely,6
139,37,Male,Divorced,College,Life Sciences,2,Healthcare Representative,Non-Travel,2
140,59,Female,Married,Master,Human Resources,3,Manager,Non-Travel,2
141,50,Female,Married,Bachelor,Life Sciences,2,Research Director,Travel_Frequently,1
142,25,Male,Single,Bachelor,Marketing,1,Sales Executive,Travel_Rarely,5
143,25,Male,Married,Below College,Medical,2,Research Scientist,Travel_Rarely,7
144,22,Female,Single,Bachelor,Medical,2,Laboratory Technician,Travel_Rarely,15
145,51,Female,Single,Master,Medical,2,Healthcare Representative,Travel_Frequently,1
147,34,Male,Single,Bachelor,Life Sciences,2,Laboratory Technician,Travel_Frequently,7
148,54,Female,Single,Bachelor,Human Resources,3,Manager,Non-Travel,26
150,24,Male,Married,Below College,Life Sciences,2,Laboratory Technician,Travel_Rarely,18
151,34,Female,Divorced,Master,Life Sciences,2,Research Scientist,Travel_Rarely,6
152,37,Male,Single,Bachelor,Life Sciences,1,Sales Executive,Travel_Rarely,3
153,34,Female,Single,Bachelor,Medical,2,Manager,Travel_Rarely,5
154,36,Female,Married,College,Technical Degree,1,Sales Executive,Travel_Frequently,11
155,36,Female,Divorced,College,Life Sciences,2,Laboratory Technician,Travel_Rarely,3
158,43,Male,Married,College,Life Sciences,1,Manager,Travel_Frequently,26
