employee_id ,attrition,environment_satisfaction,job_involvement,job_level,job_satisfaction,num_companies_worked,over_18,overTime,performance_rating,relationship_satisfaction,standard_hours,total_working_years,training_time_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_currmanager
1,Yes,2,3,2,4,8,Y,Yes,3,1,80,8,0,1,6,4,0,5
2,No,3,2,2,2,1,Y,No,4,4,80,10,3,3,10,7,1,7
4,Yes,4,2,1,3,6,Y,Yes,3,2,80,7,3,3,0,0,0,0
5,No,4,3,1,3,1,Y,Yes,3,3,80,8,3,3,8,7,3,0
7,No,1,3,1,2,9,Y,No,3,4,80,6,3,3,2,2,2,2
8,No,4,3,1,4,0,Y,No,3,3,80,8,2,2,7,7,3,6
10,No,3,4,1,1,4,Y,Yes,4,1,80,12,3,2,1,0,0,0
11,No,4,3,1,3,1,Y,No,4,2,80,1,2,3,1,0,0,0
12,No,4,2,3,3,0,Y,No,4,2,80,10,2,3,9,7,1,8
13,No,3,3,2,3,6,Y,No,3,2,80,17,3,2,7,7,7,7
14,No,1,4,1,2,0,Y,No,3,3,80,6,5,3,5,4,0,3
15,No,4,2,2,3,0,Y,Yes,3,4,80,10,3,3,9,5,0,8
16,No,1,3,1,3,1,Y,No,3,4,80,5,1,2,5,2,4,3
18,No,2,3,1,4,0,Y,No,3,3,80,3,2,3,2,2,1,2
19,Yes,3,2,1,3,5,Y,Yes,3,2,80,6,4,3,4,2,0,3
20,No,2,4,3,1,1,Y,No,3,3,80,10,1,3,10,9,8,8
21,No,1,4,1,2,0,Y,Yes,3,4,80,7,5,2,6,2,0,5
22,No,4,4,1,4,1,Y,Yes,3,2,80,1,2,2,1,0,0,0
23,No,1,2,4,4,2,Y,No,3,3,80,31,3,3,25,8,3,7
24,No,4,3,1,4,5,Y,Yes,3,3,80,6,3,3,3,2,1,2
26,No,1,4,2,3,0,Y,No,3,4,80,5,5,2,4,2,1,3
27,Yes,3,2,1,1,7,Y,No,4,2,80,10,4,3,5,3,0,3
28,No,1,3,3,2,0,Y,No,3,3,80,13,4,3,12,6,2,11
30,No,3,3,1,4,1,Y,No,3,4,80,0,6,3,0,0,0,0
31,Yes,2,3,1,1,2,Y,No,3,3,80,8,2,3,4,2,1,3
32,No,3,3,5,3,4,Y,No,3,4,80,26,3,2,14,13,4,8
33,Yes,2,1,1,1,1,Y,Yes,4,2,80,10,5,3,10,2,6,7
35,No,3,3,2,2,0,Y,No,3,4,80,10,2,3,9,7,4,2
36,No,1,2,3,4,3,Y,No,3,4,80,24,4,3,22,6,5,17
38,No,2,3,5,1,3,Y,No,3,4,80,22,2,2,2,2,2,1
39,No,3,3,1,4,4,Y,No,3,4,80,7,3,3,1,1,0,0
40,No,4,3,2,4,2,Y,Yes,3,4,80,9,5,4,4,2,1,3
41,No,4,2,1,3,1,Y,No,3,1,80,10,5,3,10,0,1,8
42,Yes,4,3,2,4,3,Y,No,3,3,80,19,6,4,1,0,0,0
45,Yes,2,3,1,4,2,Y,Yes,3,1,80,6,2,2,2,0,2,0
46,No,4,4,1,3,1,Y,No,3,4,80,6,3,2,5,3,1,4
47,Yes,1,2,1,3,1,Y,Yes,3,3,80,3,2,3,3,2,0,2
49,No,4,3,1,4,1,Y,No,3,1,80,2,3,3,2,2,2,2
